name,category,phone,addr_housenumber,addr_street,addr_city,addr_postcode,lat,lon,osm_type,osm_id,osm_link,maps_link
BDC,amenity:bank,,,,,,43.686614,-79.759368,node,13357880992,https://www.openstreetmap.org/node/13357880992,"https://www.google.com/maps/search/?api=1&query=43.6866138,-79.7593684"
BMO,amenity:bank,,,,,,43.328122,-79.801024,node,621417436,https://www.openstreetmap.org/node/621417436,"https://www.google.com/maps/search/?api=1&query=43.3281223,-79.8010238"
BMO,amenity:bank,,,,,,43.379085,-79.804737,node,1141734785,https://www.openstreetmap.org/node/1141734785,"https://www.google.com/maps/search/?api=1&query=43.379085,-79.8047365"
BMO,amenity:bank,,,,,,43.449956,-79.702421,node,1275021881,https://www.openstreetmap.org/node/1275021881,"https://www.google.com/maps/search/?api=1&query=43.4499555,-79.7024206"
BMO,amenity:bank,,,,,,43.535028,-79.875465,node,2193602427,https://www.openstreetmap.org/node/2193602427,"https://www.google.com/maps/search/?api=1&query=43.5350277,-79.8754651"
BMO,amenity:bank,,,,,,43.518193,-79.874089,node,2196044457,https://www.openstreetmap.org/node/2196044457,"https://www.google.com/maps/search/?api=1&query=43.5181928,-79.8740887"
BMO,amenity:bank,,,,,,43.412749,-79.704533,node,2291478049,https://www.openstreetmap.org/node/2291478049,"https://www.google.com/maps/search/?api=1&query=43.4127489,-79.704533"
BMO,amenity:bank,,1075,Bronte Street South,,,43.487421,-79.859052,node,3302234967,https://www.openstreetmap.org/node/3302234967,"https://www.google.com/maps/search/?api=1&query=43.4874214,-79.8590523"
BMO,amenity:bank,,,,,,43.368801,-79.753506,node,3635872052,https://www.openstreetmap.org/node/3635872052,"https://www.google.com/maps/search/?api=1&query=43.3688015,-79.7535056"
BMO,amenity:bank,,280,Guelph Street,,,43.648750,-79.897560,node,6533216825,https://www.openstreetmap.org/node/6533216825,"https://www.google.com/maps/search/?api=1&query=43.6487495,-79.8975602"
BMO,amenity:bank,,,,,,43.347872,-79.793005,node,6629362799,https://www.openstreetmap.org/node/6629362799,"https://www.google.com/maps/search/?api=1&query=43.347872,-79.7930054"
BMO,amenity:bank,,10035,Hurontario Street,,,43.706705,-79.787141,node,10679052789,https://www.openstreetmap.org/node/10679052789,"https://www.google.com/maps/search/?api=1&query=43.7067048,-79.7871413"
CIBC,amenity:bank,,,,,,43.372632,-79.762383,node,419369687,https://www.openstreetmap.org/node/419369687,"https://www.google.com/maps/search/?api=1&query=43.3726322,-79.7623832"
CIBC,amenity:bank,,,,,,43.649266,-79.926098,node,484143499,https://www.openstreetmap.org/node/484143499,"https://www.google.com/maps/search/?api=1&query=43.6492663,-79.9260976"
CIBC,amenity:bank,,,,,,43.329647,-79.802151,node,621417439,https://www.openstreetmap.org/node/621417439,"https://www.google.com/maps/search/?api=1&query=43.3296474,-79.8021514"
CIBC,amenity:bank,,3105,Argentia Road,,,43.598302,-79.786527,node,1714830071,https://www.openstreetmap.org/node/1714830071,"https://www.google.com/maps/search/?api=1&query=43.5983024,-79.7865272"
CIBC,amenity:bank,,,,,,43.438077,-79.740384,node,1960821014,https://www.openstreetmap.org/node/1960821014,"https://www.google.com/maps/search/?api=1&query=43.438077,-79.740384"
