name,category,phone,addr_housenumber,addr_street,addr_city,addr_postcode,lat,lon,osm_type,osm_id,osm_link,maps_link
Central Billiards,amenity:bar,+1-905-826-6328,,,,,43.582084,-79.717027,node,3459661428,https://www.openstreetmap.org/node/3459661428,"https://www.google.com/maps/search/?api=1&query=43.5820839,-79.7170269"
Derrydale Club House,amenity:bar,,,,,,43.643881,-79.712776,node,1740306466,https://www.openstreetmap.org/node/1740306466,"https://www.google.com/maps/search/?api=1&query=43.6438809,-79.7127755"
Jerseys Bar & Grill,amenity:bar,,,,,,43.373285,-79.809774,node,7061051898,https://www.openstreetmap.org/node/7061051898,"https://www.google.com/maps/search/?api=1&query=43.3732846,-79.8097739"
Shooterville,amenity:bar,,,,,,43.336687,-79.817783,node,7061714262,https://www.openstreetmap.org/node/7061714262,"https://www.google.com/maps/search/?api=1&query=43.3366868,-79.8177826"
Smoke Shack Shop & Lounge,amenity:bar,+1-905-864-0786,160,Main Street East,Milton,,43.511589,-79.884570,node,7817886370,https://www.openstreetmap.org/node/7817886370,"https://www.google.com/maps/search/?api=1&query=43.5115893,-79.8845697"
The Den,amenity:bar,,,,,,43.656417,-79.740023,node,7195543538,https://www.openstreetmap.org/node/7195543538,"https://www.google.com/maps/search/?api=1&query=43.6564169,-79.7400231"
Armeen’s Café & Bake Shop,amenity:cafe,,,,,,43.583108,-79.729610,node,12865649111,https://www.openstreetmap.org/node/12865649111,"https://www.google.com/maps/search/?api=1&query=43.5831079,-79.7296103"
Bruin Coffee House,amenity:cafe,,,,,,43.656540,-79.739743,node,7195543539,https://www.openstreetmap.org/node/7195543539,"https://www.google.com/maps/search/?api=1&query=43.6565402,-79.7397429"
Cafe Evelyn,amenity:cafe,,,,,,43.513720,-79.883586,node,1912335678,https://www.openstreetmap.org/node/1912335678,"https://www.google.com/maps/search/?api=1&query=43.5137198,-79.8835856"
Caked Coffee,amenity:cafe,,,,,,43.315660,-79.840572,node,13234430353,https://www.openstreetmap.org/node/13234430353,"https://www.google.com/maps/search/?api=1&query=43.31566,-79.8405724"
Castle Lounge & Cafe,amenity:cafe,,220,Main Street East,Milton,,43.513185,-79.882954,node,1479401785,https://www.openstreetmap.org/node/1479401785,"https://www.google.com/maps/search/?api=1&query=43.5131854,-79.8829538"
Chaat & Falooda,amenity:cafe,,,,,,43.621887,-79.782593,node,6861656796,https://www.openstreetmap.org/node/6861656796,"https://www.google.com/maps/search/?api=1&query=43.6218873,-79.7825928"
Chestnuts,amenity:cafe,,,,,,43.393966,-79.708693,node,9813249088,https://www.openstreetmap.org/node/9813249088,"https://www.google.com/maps/search/?api=1&query=43.3939664,-79.7086926"
Chika Bean Cafe,amenity:cafe,+1-289-339-7419,,,,,43.354124,-79.797379,node,13665036186,https://www.openstreetmap.org/node/13665036186,"https://www.google.com/maps/search/?api=1&query=43.3541237,-79.7973791"
Danish Coffee Roasters,amenity:cafe,,5100,Erin Mills Parkway,,,43.558846,-79.712002,node,6556571751,https://www.openstreetmap.org/node/6556571751,"https://www.google.com/maps/search/?api=1&query=43.5588459,-79.7120022"
Flying Monkey Cafe and Bike Shop,amenity:cafe,,6,Main St South,Campbellville,L0P 1B0,43.487148,-79.982269,node,5284218694,https://www.openstreetmap.org/node/5284218694,"https://www.google.com/maps/search/?api=1&query=43.4871477,-79.982269"
Fruitea,amenity:cafe,,,,,,43.648576,-79.881248,node,10984537319,https://www.openstreetmap.org/node/10984537319,"https://www.google.com/maps/search/?api=1&query=43.648576,-79.8812484"
JC's Bagels,amenity:cafe,,,,,,43.339404,-79.786049,node,1619221697,https://www.openstreetmap.org/node/1619221697,"https://www.google.com/maps/search/?api=1&query=43.3394036,-79.7860492"
Mama Mila's Cafe,amenity:cafe,,9113,Derry Road West,Milton,,43.517537,-79.851175,node,2271751956,https://www.openstreetmap.org/node/2271751956,"https://www.google.com/maps/search/?api=1&query=43.5175372,-79.8511754"
Marketplace Cafe,amenity:cafe,,280,Guelph Street,,,43.648685,-79.899245,node,6533178856,https://www.openstreetmap.org/node/6533178856,"https://www.google.com/maps/search/?api=1&query=43.6486853,-79.8992449"
Mr Sun,amenity:cafe,,,,,,43.488621,-79.717020,node,12893805971,https://www.openstreetmap.org/node/12893805971,"https://www.google.com/maps/search/?api=1&query=43.4886207,-79.7170195"
Peach Coffee Co. Bronte,amenity:cafe,,100 #10,bronte,,,43.393905,-79.710573,node,12041943029,https://www.openstreetmap.org/node/12041943029,"https://www.google.com/maps/search/?api=1&query=43.3939048,-79.7105728"
Piccadilly Cafe,amenity:cafe,,,,,,43.327463,-79.800162,node,1715724281,https://www.openstreetmap.org/node/1715724281,"https://www.google.com/maps/search/?api=1&query=43.3274626,-79.8001616"
Shawms Cafe & Grill,amenity:cafe,+1-905-845-2111,2345,Wyecroft Road,Oakville,,43.412510,-79.732067,node,2699056435,https://www.openstreetmap.org/node/2699056435,"https://www.google.com/maps/search/?api=1&query=43.4125103,-79.7320669"
Southpaw Coffee Bar and Cafe,amenity:cafe,,,,,,43.630691,-79.900144,node,7129265639,https://www.openstreetmap.org/node/7129265639,"https://www.google.com/maps/search/?api=1&query=43.6306913,-79.9001438"
Tea Leaves,amenity:cafe,,,,,,43.394671,-79.709718,node,385027451,https://www.openstreetmap.org/node/385027451,"https://www.google.com/maps/search/?api=1&query=43.3946706,-79.7097176"
UK Urban Kitchen Cafe,amenity:cafe,,,,,,43.450621,-79.703161,node,2011459495,https://www.openstreetmap.org/node/2011459495,"https://www.google.com/maps/search/?api=1&query=43.4506213,-79.703161"
Viva Cafe,amenity:cafe,,,,,,43.707364,-79.788089,node,6546951257,https://www.openstreetmap.org/node/6546951257,"https://www.google.com/maps/search/?api=1&query=43.7073637,-79.7880887"
Williams Fresh Cafe,amenity:cafe,,1250,Brant Street,Burlington,,43.343573,-79.828543,node,1634780138,https://www.openstreetmap.org/node/1634780138,"https://www.google.com/maps/search/?api=1&query=43.3435725,-79.8285429"
Discount Car & Truck Rentals,amenity:car_rental,,,,,,43.519659,-79.878539,node,2729699834,https://www.openstreetmap.org/node/2729699834,"https://www.google.com/maps/search/?api=1&query=43.5196587,-79.8785387"
enterprise rent-a-car,amenity:car_rental,,,,,,43.419833,-79.724834,node,2796764469,https://www.openstreetmap.org/node/2796764469,"https://www.google.com/maps/search/?api=1&query=43.4198333,-79.7248341"
Hertz,amenity:car_rental,,,,,,43.701862,-79.743373,node,12810741112,https://www.openstreetmap.org/node/12810741112,"https://www.google.com/maps/search/?api=1&query=43.7018616,-79.7433728"
Yellow Car Rental,amenity:car_rental,,,,,,43.700281,-79.744891,node,12810734785,https://www.openstreetmap.org/node/12810734785,"https://www.google.com/maps/search/?api=1&query=43.700281,-79.7448912"
Coin-Op Car Wash,amenity:car_wash,,,,,,43.331698,-79.822139,node,1668169929,https://www.openstreetmap.org/node/1668169929,"https://www.google.com/maps/search/?api=1&query=43.3316978,-79.822139"
Glide Auto Wash,amenity:car_wash,,,,,,43.515239,-79.851200,node,2199778699,https://www.openstreetmap.org/node/2199778699,"https://www.google.com/maps/search/?api=1&query=43.5152393,-79.8511996"
King Full Service Car Wash,amenity:car_wash,,,,,,43.333328,-79.810714,node,7859140082,https://www.openstreetmap.org/node/7859140082,"https://www.google.com/maps/search/?api=1&query=43.3333277,-79.8107144"
Mint Auto Detailing Inc,amenity:car_wash,+1-905-812-7184,,,,,43.581763,-79.716494,node,3459661434,https://www.openstreetmap.org/node/3459661434,"https://www.google.com/maps/search/?api=1&query=43.5817628,-79.7164937"
Ray Milano's Car Wash & Auto Detailing,amenity:car_wash,,,,,,43.590044,-79.724521,node,3458643218,https://www.openstreetmap.org/node/3458643218,"https://www.google.com/maps/search/?api=1&query=43.5900439,-79.7245206"
Simoniz Touchless Wash,amenity:car_wash,,,,,,43.522960,-79.899341,node,2200505162,https://www.openstreetmap.org/node/2200505162,"https://www.google.com/maps/search/?api=1&query=43.52296,-79.8993409"
Soft Cloth Wash,amenity:car_wash,,,,,,43.418904,-79.716538,node,2796749971,https://www.openstreetmap.org/node/2796749971,"https://www.google.com/maps/search/?api=1&query=43.418904,-79.7165381"
Spot Free Car Wash,amenity:car_wash,,,,,,43.530763,-79.884504,node,2232090013,https://www.openstreetmap.org/node/2232090013,"https://www.google.com/maps/search/?api=1&query=43.5307629,-79.8845044"
Touchless Car Wash,amenity:car_wash,,,,,,43.417971,-79.717474,node,558655840,https://www.openstreetmap.org/node/558655840,"https://www.google.com/maps/search/?api=1&query=43.417971,-79.7174743"
Victory Car Wash,amenity:car_wash,,,,,,43.662745,-79.731070,node,13093241522,https://www.openstreetmap.org/node/13093241522,"https://www.google.com/maps/search/?api=1&query=43.6627448,-79.7310703"
Absolute Angels Daycare,amenity:childcare,,,,,,43.690110,-79.835028,node,2687039449,https://www.openstreetmap.org/node/2687039449,"https://www.google.com/maps/search/?api=1&query=43.6901102,-79.835028"
Alpah's Preschool Academy and Child Care Centre,amenity:childcare,+1-905-812-8880,,,,,43.587989,-79.740805,node,4017888645,https://www.openstreetmap.org/node/4017888645,"https://www.google.com/maps/search/?api=1&query=43.5879885,-79.7408046"
Aspire Childcare,amenity:childcare,,,,,,43.713910,-79.727971,node,13591325954,https://www.openstreetmap.org/node/13591325954,"https://www.google.com/maps/search/?api=1&query=43.7139099,-79.7279712"
Brampton West Child Care Centre,amenity:childcare,,,,,,43.715068,-79.776713,node,2752956158,https://www.openstreetmap.org/node/2752956158,"https://www.google.com/maps/search/?api=1&query=43.7150675,-79.7767132"
Child Care,amenity:childcare,,,,,,43.595203,-79.769012,node,12740118588,https://www.openstreetmap.org/node/12740118588,"https://www.google.com/maps/search/?api=1&query=43.5952033,-79.769012"
Georgetown Daycare Centre Nursery School,amenity:childcare,+1-905-877-4376,,,,,43.646364,-79.863600,node,4280393135,https://www.openstreetmap.org/node/4280393135,"https://www.google.com/maps/search/?api=1&query=43.6463638,-79.8635999"
Little Bloomers Childcare Centre,amenity:childcare,+1 9054990789,153,Queen Street West,,,43.682512,-79.763257,node,12569711173,https://www.openstreetmap.org/node/12569711173,"https://www.google.com/maps/search/?api=1&query=43.6825118,-79.7632575"
Lullaboo,amenity:childcare,,,,,,43.657833,-79.791680,node,13534509654,https://www.openstreetmap.org/node/13534509654,"https://www.google.com/maps/search/?api=1&query=43.6578327,-79.7916796"
Meadowvale Christan Acadamy & Childcare,amenity:childcare,,,,,,43.597151,-79.742225,node,4014629750,https://www.openstreetmap.org/node/4014629750,"https://www.google.com/maps/search/?api=1&query=43.5971507,-79.7422253"
Tiny Hoppers Dayschool,amenity:childcare,,,,,,43.495411,-79.895486,node,13952318081,https://www.openstreetmap.org/node/13952318081,"https://www.google.com/maps/search/?api=1&query=43.495411,-79.8954862"
Wee Care Educational Services Inc.,amenity:childcare,,,,,,43.304315,-79.856596,node,1356838951,https://www.openstreetmap.org/node/1356838951,"https://www.google.com/maps/search/?api=1&query=43.3043149,-79.8565961"
Alevia Health & Wellness Centre,amenity:clinic,+1-905-315-9955,,,,,43.339621,-79.817282,node,2951561334,https://www.openstreetmap.org/node/2951561334,"https://www.google.com/maps/search/?api=1&query=43.3396212,-79.8172823"
