name,category,email,phone,website,addr_housenumber,addr_street,addr_city,addr_postcode,lat,lon,osm_link,maps_link
4 Cats Arts Studio,shop:art,oakville@4cats.com,+1-289-725-7730,https://4catsoakville.com,2379,Trafalgar Road,,L6H 6K7,,,https://www.openstreetmap.org/node/3410458859,
Alton Dental,amenity:dentist,info@altondental.corn,+1-905-335-4603,https://dentistburlington.net/,4521,Dundas Street,,,,,https://www.openstreetmap.org/node/4523356880,
Anytime Anywhere Therapy,other,contact@anytimeanywheretherapy.com,+1-289-635-3154,https://www.anytimeanywheretherapy.com/,3425,Harvester Road,Burlington,L7N 3N1,,,https://www.openstreetmap.org/node/13014000147,
AU 79,amenity:cafe,info@au79coffee.ca,,https://www.au79coffee.ca,2464,Lakeshore Road West,Oakville,L6L 1H8,,,https://www.openstreetmap.org/node/12242559103,
Audi Oakville,shop:car,info@audioakville.com,+1-905-844-2834,https://www.audioakville.com/en/,1425,North Service Road West,Oakville,L6M 2W2,,,https://www.openstreetmap.org/node/13706966306,
Best Brains,amenity:prep_school,oakvillenorth@bestbrains.com,+1-905-466-5744,https://bestbrains.com/oakvillenorth,,,,,,,https://www.openstreetmap.org/node/9987023084,
BioPed Footcare,other,oakville@bioped.com,+1-905-339-3678,https://www.bioped.com,2427,Trafalgar Road,,L6H 6K7,,,https://www.openstreetmap.org/node/3412091315,
Biryani Master,amenity:fast_food,biryanimastermississauga@gmail.com,+1-905-785-0707,https://biryanimaster.ca/,,,,,,,https://www.openstreetmap.org/node/1714830104,
Blossom Cafe,amenity:cafe,blossomcafe@chudleighs.com,+1-289-878-5586,https://www.chudleighs.com/blossom-cafe,176,Main Street East,,L1T 1N8,,,https://www.openstreetmap.org/node/2216850790,
Bluebird Self Storage,shop:storage_rental,appleby@bluebirdstorage.ca,+1-647-559-5485,https://bluebirdstorage.ca/facilities/burlington-appleby/,1770,Appleby Line,Burlington,L7L 5P8,,,https://www.openstreetmap.org/node/7720991219,
Brant Cycle,shop:bicycle,info@brantcycle.ca,+1 905 637 3737,https://www.brantcycle.ca/,892,Brant Street,,L7R 2J5,,,https://www.openstreetmap.org/node/1852404399,
Brant Lakeshore Pharmacy,amenity:pharmacy,brant3333@gmail.com,+1-289-337-3333,,,,,,,,https://www.openstreetmap.org/node/4200651731,
Brittany Glen Animal Hospital,amenity:veterinary,info@brittanyanimalhospital.com,+1 905 814 1717,https://brittanyanimalhospital.com/,5602,Tenth Line West,,,,,https://www.openstreetmap.org/node/10979707719,
Burlington Eyecare,other,icare@burlingtoneye.ca,+1-905-639-9595,https://www.burlingtoneye.ca/,3235,Fairview Street,Burlington,L7N 3L1,,,https://www.openstreetmap.org/node/7649858473,
Burlington Trampoline and Tumbling,other,info@burlingtontnt.com,+1-905-634-0310,https://www.burlingtontnt.com/,680,Maple Avenue,,,,,https://www.openstreetmap.org/node/13056544182,
CASE Psychology,other,info@casepsychology.com,+1-647-299-2273,https://casepsychology.com/,4145,North Service Road,Burlington,L7L 6A3,,,https://www.openstreetmap.org/node/9082484780,
Chika Bean Cafe,amenity:cafe,chikabeancafe@gmail.com,+1-289-339-7419,,,,,,,,https://www.openstreetmap.org/node/13665036186,
